Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.63.161.135-8.8.8.8-59616-53-17,10.63.161.135,59616,8.8.8.8,53,17,16/10/2024 02:35:52 PM,10163,1,1,43.0,133.0,43.0,43.0,43.0,0.0,133.0,133.0,133.0,0.0,17317.721145331103,196.7922857423989,10163.0,0.0,10163.0,10163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,98.39614287119944,98.39614287119944,43.0,133.0,73.0,51.96152422706632,2700.0,0,0,0,0,0,0,0,0,1.0,109.5,43.0,133.0,0,0,0,0,0,0,0,21,0,66,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.63.161.135-8.8.8.8-46221-53-17,10.63.161.135,46221,8.8.8.8,53,17,16/10/2024 02:35:51 PM,3060,1,1,37.0,87.0,37.0,37.0,37.0,0.0,87.0,87.0,87.0,0.0,40522.875816993466,653.5947712418301,3060.0,0.0,3060.0,3060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,326.79738562091507,326.79738562091507,37.0,87.0,53.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,1.0,80.5,37.0,87.0,0,0,0,0,0,0,0,18,0,43,0,0,0,8,0,0,0,0,0,0,0,0,No Label
142.251.221.67-10.63.161.135-80-58772-6,142.251.221.67,80,10.63.161.135,58772,6,16/10/2024 02:36:03 PM,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1050,463,0,32,0,0,0,0,0,0,0,0,No Label
10.63.161.135-8.8.8.8-40264-53-17,10.63.161.135,40264,8.8.8.8,53,17,16/10/2024 02:35:49 PM,1037,1,1,29.0,45.0,29.0,29.0,29.0,0.0,45.0,45.0,45.0,0.0,71359.69141755062,1928.6403085824495,1037.0,0.0,1037.0,1037.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,964.3201542912248,964.3201542912248,29.0,45.0,34.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,51.5,29.0,45.0,0,0,0,0,0,0,0,14,0,22,0,0,0,8,0,0,0,0,0,0,0,0,No Label
10.63.161.135-159.196.132.156-22-42850-6,10.63.161.135,22,159.196.132.156,42850,6,16/10/2024 02:35:41 PM,28271849,4425,1776,5904828.0,135284.0,1460.0,0.0,1334.4244067796608,366.23115673528963,800.0,0.0,76.17342342342343,118.70739166938856,213644.03863362456,219.33478776007894,4559.975645161295,13240.06875547378,259950.0,0.0,2.8271849E7,6390.562613019891,17153.36280192819,259968.0,0.0,2.8258943E7,15920.531267605624,24126.183253982446,259986.0,0.0,0,0,0,0,88500,35520,156.5161160842363,62.81867167584264,0.0,1460.0,974.1328603676232,650.6384665934706,423330.41421110276,0,0,0,2450,6201,0,0,0,0.0,974.2899532333495,1334.424406779661,76.17342342342343,0,0,0,0,5082,213644,0,952,0,21,2587,4102,4283,20,0,0,0,0,1.7290893545501718E15,8299151.623135266,1.729089369378697E15,1.729089341106943E15,No Label
10.63.161.135-8.8.8.8-45089-53-17,10.63.161.135,45089,8.8.8.8,53,17,16/10/2024 02:35:49 PM,1699,2,2,62.0,151.0,31.0,31.0,31.0,0.0,88.0,63.0,75.5,17.67766952966369,125367.8634490877,2354.326074161271,566.3333333333334,550.8814149463869,1105.0,4.0,4.0,4.0,0.0,4.0,4.0,590.0,590.0,0.0,590.0,590.0,0,0,0,0,16,16,1177.1630370806356,1177.1630370806356,31.0,88.0,48.8,25.926820090400597,672.2,0,0,0,0,0,0,0,0,1.0,61.0,31.0,75.5,0,0,0,0,4,125367,0,15,0,37,0,0,1,8,0,0,0,0,1.7290893490049405E15,361.3315651863258,1.729089349005196E15,1.729089349004685E15,No Label
34.98.75.36-10.63.161.135-443-56574-6,34.98.75.36,443,10.63.161.135,56574,6,16/10/2024 02:35:49 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1048,462,0,32,0,0,0,0,0,0,0,0,No Label
10.63.161.135-8.8.8.8-56826-53-17,10.63.161.135,56826,8.8.8.8,53,17,16/10/2024 02:35:49 PM,22655,2,2,66.0,288.0,33.0,33.0,33.0,0.0,156.0,132.0,144.0,16.97056274847714,15625.689693224453,176.5614654601633,7551.666666666667,8184.709056120037,16252.0,5.0,5.0,5.0,0.0,5.0,5.0,16252.0,16252.0,0.0,16252.0,16252.0,0,0,0,0,16,16,88.28073273008165,88.28073273008165,33.0,156.0,77.4,61.386480596300686,3768.3,0,0,0,0,0,0,0,0,1.0,96.75,33.0,144.0,0,0,0,0,4,15625,0,16,0,72,0,0,1,8,0,0,0,0,1.7290893494244165E15,6971.365755718172,1.729089349429346E15,1.729089349419487E15,No Label
10.63.161.135-142.250.66.202-54167-443-17,10.63.161.135,54167,142.250.66.202,443,17,16/10/2024 02:35:52 PM,6886959,52,42,10796.0,12278.0,1252.0,31.0,207.61538461538453,363.17365553189313,1252.0,24.0,292.3333333333334,422.53997742264005,3350.390208508574,13.648984987423331,74053.32258064514,496001.54160779365,4768811.0,0.0,6880992.0,134921.4117647059,667487.5282604215,4775077.0,5.0,6885454.0,167937.90243902442,742123.7069018482,4771918.0,0.0,0,0,0,0,416,336,7.550502333468226,6.098482653955106,24.0,1252.0,256.0631578947368,402.3334546549698,161872.20873460264,0,0,0,0,0,0,0,0,0.0,258.78723404255317,207.6153846153846,292.3333333333333,0,0,0,0,47,10893,0,114,0,130,0,0,51,8,0,0,0,0,1.72908935463806E15,2373715.881123998,1.729089359831936E15,1.729089352952424E15,No Label
152.195.38.76-10.63.161.135-80-36812-6,152.195.38.76,80,10.63.161.135,36812,6,16/10/2024 02:36:03 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,131,486,0,32,0,0,0,0,0,0,0,0,No Label
