Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.4-50011-80-6,10.0.0.3,50011,10.0.0.4,80,6,16/10/2024 06:50:36 AM,899,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2224.694104560623,899.0,0.0,899.0,899.0,899.0,899.0,0.0,899.0,899.0,0,0,0,0,0,0,0,0,0,40,0,2224.694104560623,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8210,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50012-80-6,10.0.0.3,50012,10.0.0.4,80,6,16/10/2024 06:50:36 AM,11803,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,51173.430483775315,593.0695585868,1967.1666666666667,3132.804265616776,8102.0,0.0,1948.0,974.0,1377.4440097513946,1948.0,0.0,11779.0,3926.333333333333,3618.3076615088075,8102.0,1716.0,0,0,0,0,72,92,254.17266796577144,338.89689062102855,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614363633688E15,4463.332265994396,1.729061436369923E15,1.729061436359897E15,No Label
10.0.0.3-10.0.0.4-50012-80-6,10.0.0.3,50012,10.0.0.4,80,6,16/10/2024 06:50:36 AM,1069,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1870.9073900841906,1069.0,0.0,1069.0,1069.0,1069.0,1069.0,0.0,1069.0,1069.0,0,0,0,0,0,0,0,0,0,40,0,1870.9073900841906,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50009-443-6,10.0.0.3,50009,10.0.0.4,443,6,16/10/2024 06:50:36 AM,92506,5,3,177.0,1298.0,177.0,0.0,35.4,79.15680640349255,1298.0,0.0,432.6666666666667,749.4006494081343,15944.911681404448,86.48087691609193,13215.142857142857,29519.45930189424,79996.0,9.0,92506.0,23126.5,38093.880632808556,79996.0,295.0,7474.0,3737.0,584.0702012600883,4150.0,3324.0,0,0,0,0,112,72,54.050548072557454,32.43032884353447,0.0,1298.0,163.88888888888889,429.3013057412138,184299.61111111112,1,2,0,2,7,0,0,0,0.0,184.375,35.4,432.6666666666667,0,0,0,0,0,0,0,22,0,162,65535,501,1,20,0,0,0,0,1.7290614362900195E15,3375.1331515786774,1.729061436293929E15,1.729061436285892E15,No Label
10.0.0.3-10.0.0.4-50014-80-6,10.0.0.3,50014,10.0.0.4,80,6,16/10/2024 06:50:46 AM,10754,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,56165.147851962065,650.920587688302,1792.3333333333335,3240.9643420850325,8267.0,0.0,718.0,359.0,507.70266889194113,718.0,0.0,10718.0,3572.6666666666665,4096.2270851764715,8267.0,724.0,0,0,0,0,72,92,278.96596615212945,371.9546215361726,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614464173918E15,4258.504871178055,1.729061446423761E15,1.729061446414812E15,No Label
10.0.0.3-10.0.0.4-50014-80-6,10.0.0.3,50014,10.0.0.4,80,6,16/10/2024 06:50:46 AM,380,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5263.157894736842,380.0,0.0,380.0,380.0,380.0,380.0,0.0,380.0,380.0,0,0,0,0,0,0,0,0,0,40,0,5263.157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50015-80-6,10.0.0.3,50015,10.0.0.4,80,6,16/10/2024 06:50:46 AM,10996,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,54929.06511458712,636.5951255001819,1832.6666666666667,3094.7308552872037,7837.0,0.0,622.0,311.0,439.8204178980326,622.0,0.0,10964.0,3654.6666666666665,3742.1216352937186,7837.0,623.0,0,0,0,0,72,92,272.8264823572208,363.7686431429611,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.729061446443479E15,4026.3466417478126,1.729061446449504E15,1.729061446441077E15,No Label
10.0.0.3-10.0.0.4-50015-80-6,10.0.0.3,50015,10.0.0.4,80,6,16/10/2024 06:50:46 AM,553,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3616.6365280289333,553.0,0.0,553.0,553.0,553.0,553.0,0.0,553.0,553.0,0,0,0,0,0,0,0,0,0,40,0,3616.6365280289333,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50016-80-6,10.0.0.3,50016,10.0.0.4,80,6,16/10/2024 06:50:46 AM,10838,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,55729.839453773755,645.8756228086363,1806.3333333333333,3354.328467319005,8563.0,4.0,806.0,403.0,289.9137802864845,608.0,198.0,10798.0,3599.333333333333,4312.68435354749,8563.0,770.0,0,0,0,0,72,92,276.8038383465584,369.07178446207786,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614464680708E15,4451.255205502588,1.729061446474743E15,1.729061446465612E15,No Label
10.0.0.3-10.0.0.4-50016-80-6,10.0.0.3,50016,10.0.0.4,80,6,16/10/2024 06:50:46 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
